country,cnt,Population
Argentina,ARG,"44,938,712"
Bangladesh,BGD,"167,310,838"
Bolivia,BOL,"11,513,100"
Botswana,BWA,"2,346,179"
Brazil,BRA,"212,559,417"
Burkina Faso,BFA,"20,321,378"
Cambodia,KHM,"16,486,542"
Cameroon,CMR,"25,876,380"
Chile,CHL,"18,952,038"
China,CHN,"1,397,715,000"
Taiwan,TWN,"23,340,136"
Colombia,COL,"50,339,443"
Costa Rica,CRI,"5,047,561"
Ecuador,ECU,"17,373,662"
Egypt,EGY,"100,388,073"
Ethiopia,ETH,"112,078,730"
Ghana,GHA,"30,792,608"
Hong Kong,HKG,"7,507,400"
India,IND,"1,366,417,754"
Indonesia,IDN,"270,203,917"
Israel,ISR,"9,053,300"
Japan,JPN,"126,226,568"
Kenya,KEN,"52,573,973"
Laos,LAO,"7,169,455"
Lesotho,LSO,"2,125,268"
Malawi,MWI,"18,628,747"
Malaysia,MYS,"32,447,385"
Mauritius,MUS,"1,265,711"
Mexico,MEX,"126,014,024"
Morocco,MAR,"36,910,560"
Mozambique,MOZ,"30,366,036"
Myanmar,MMR,"54,045,420"
Namibia,NAM,"2,494,530"
Nepal,NPL,"28,608,710"
Nigeria,NGA,"200,963,599"
Pakistan,PAK,"216,565,318"
Peru,PER,"32,510,453"
Philippines,PHL,"108,116,615"
South Korea,KOR,"51,709,098"
Rwanda,RWA,"12,626,950"
Senegal,SEN,"16,296,364"
Singapore,SGP,"5,703,569"
South Africa,ZAF,"58,558,270"
Sri Lanka,LKA,"21,803,000"
Tanzania,TZA,"58,005,463"
Thailand,THA,"69,625,582"
Tunisia,TUN,"11,694,719"
Turkey,TUR,"83,429,615"
Uganda,UGA,"44,269,594"
Vietnam,VNM,"96,462,106"
Zambia,ZMB,"17,861,030"
